user_id,username,password,role
1,Donald1,zrda,member
2,Doreen2,1htj,manager
3,Christopher3,7axj,member
4,Donald4,w045,manager
5,Melinda5,sgrd,member
6,Mary6,kzl1,manager
7,Lorraine7,pfk3,manager
8,Raymond8,9sxz,manager
9,John9,6wpg,member
10,Jeanette10,hl4z,member
11,Michael11,7kam,manager
12,Ramona12,8ak8,member
13,Marisa13,5ycw,member
14,Karen14,n8la,manager
15,Anthony15,29up,member
16,Michael16,c0v8,member
17,Gail17,lb4k,member
18,Jerry18,iobp,member
19,Deloris19,rbji,member
20,Larry20,jl6l,manager
21,Clyde21,x5zb,member
22,Deborah22,567m,member
23,Delia23,txyj,member
24,Jennifer24,88yb,member
25,Warren25,j45y,member
26,Marguerite26,7ha7,manager
27,Dorothy27,325t,member
28,William28,v3u2,member
29,Mary29,bvr5,member
30,John30,c56k,member
31,Robert31,tn2l,member
32,Jocelyn32,oc62,member
33,Irene33,zpw7,member
34,Lori34,2g5g,manager
35,Shana35,j9ag,member
36,Terry36,rzrc,member
37,Evelyn37,19wy,member
38,Esther38,62u7,member
39,Annette39,pf1n,member
40,Frank40,vywk,member
41,Benjamin41,mwdo,member
42,Kenneth42,ng5v,member
43,Brent43,38fv,member
44,Bill44,8exy,member
45,Janine45,y5ir,member
46,Cynthia46,lw96,member
47,Latrina47,lpvj,member
48,Courtney48,wn8w,manager
49,Andrew49,8wm2,member
50,Gladys50,xrvc,member
51,Mark51,8f2y,member
52,Mary52,i1h8,manager
53,Barbara53,9k6z,member
54,Cierra54,5zuy,member
55,Douglas55,f4rc,manager
56,Edith56,tkog,manager
57,Daniel57,yk2d,manager
58,Joseph58,trzg,member
59,Julie59,gtgr,member
60,Marie60,x6vb,member
61,Alicia61,2v2r,member
62,Pablo62,65xz,member
63,Neda63,mczr,member
64,John64,ymve,member
65,John65,ij86,member
66,Jerry66,fm60,member
67,Jolene67,wogr,manager
68,Debbie68,khzl,member
69,Alejandra69,7j1o,member
70,Ann70,wjsb,member
71,Colleen71,xwl7,member
72,Jeff72,7jhx,member
73,Mary73,uhds,manager
74,Carolyn74,ux6c,member
75,Damon75,012y,member
76,Loretta76,0149,manager
77,John77,bf77,member
78,Marsha78,y4dh,manager
79,Sally79,rlpo,manager
80,David80,mkn5,member
81,Rose81,tei9,manager
82,James82,ekyl,member
83,Harrison83,22f9,member
84,Evelyn84,qeb2,member
85,Deborah85,lvbc,manager
86,David86,wvv0,manager
87,Cynthia87,vwev,member
88,Monica88,n074,member
89,Rebecca89,mttn,member
90,Peter90,3cwh,manager
91,Billy91,b35c,member
92,Justin92,jcr5,member
93,Maggie93,t1cf,member
94,James94,t44c,member
95,Brent95,2bhy,manager
96,Richard96,779a,manager
97,Sylvia97,scsm,manager
98,Carl98,tycp,manager
99,Vince99,ssxe,member
100,Louis100,abjx,member
101,Tamatha101,fnq9,member
102,Asley102,uau8,member
103,Brigette103,ff84,member
104,Marion104,j4fd,member
105,Katie105,gp9l,member
106,Salvador106,axui,member
107,Janice107,w8ps,member
108,Robert108,ba9p,member
109,Carson109,mmya,member
110,Valerie110,r7p0,member
111,Stephen111,s1dd,manager
112,Lindsey112,15ly,member
113,Elvia113,02mn,member
114,Kyle114,pz5u,member
115,Debra115,mb5w,member
